[2019/06/08 22:42:54][CONFIG][initLogger]  Logging initialized.
[2019/06/08 22:45:37][INFO][storeLocation]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO locations VALUES ('128.195.68.11', 'vcv068011.vpn.uci.edu', 'ipv4', 'NA', 'North America', 'US', 'United States', 'CA', 'California', 'Irvine', '92697', 33.6461, -117.8425);
[2019/06/08 22:45:37][INFO][storeLocation]  Error storing information into transactions.
[2019/06/08 22:45:37][INFO][storeTransaction]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO transactions (transactionid, sessionid, source_ip, request_time) VALUES ('461e02ff80a10b79f55790602b33872be6e821f9af96c4af98e60b2754d37555fd269f0170c21309905ca6f68b07a9685ef34c78e426e032ac4e286e96574a89', '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5', '128.195.68.11', '2019-06-08 22:45:37.238');
[2019/06/08 22:45:37][INFO][storeTransaction]  Query succeeded!
[2019/06/08 22:45:37][INFO][valUnique]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT COUNT(*) FROM users WHERE email LIKE 'email77777@uci.edu' 
[2019/06/08 22:45:37][INFO][valUnique]  Query succeeded.
[2019/06/08 22:45:37][INFO][valExistence]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT COUNT(*) FROM sessions WHERE email LIKE 'email77777@uci.edu' AND sessionID LIKE '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5' 
[2019/06/08 22:45:37][INFO][valExistence]  Query succeeded.
[2019/06/08 22:45:37][INFO][valExistence]  Received: 1
[2019/06/08 22:45:37][INFO][valExpired]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT exprTime FROM sessions WHERE email LIKE 'email77777@uci.edu' AND sessionID LIKE '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5' 
[2019/06/08 22:45:37][INFO][valExpired]  Query succeeded.
[2019/06/08 22:45:37][INFO][valExpired]  Checking if session is expired.
[2019/06/08 22:45:37][INFO][valExpired]  Current time: 2019-06-08 22:45:37.248
[2019/06/08 22:45:37][INFO][valExpired]  Expiration time: 2019-06-08 23:04:43.0
[2019/06/08 22:45:37][INFO][valClosed]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT status FROM sessions WHERE email LIKE 'email77777@uci.edu' AND sessionID LIKE '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5' 
[2019/06/08 22:45:37][INFO][valClosed]  Query succeeded.
[2019/06/08 22:45:37][INFO][valTimedOut]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT lastUsed FROM sessions WHERE email LIKE 'email77777@uci.edu' AND sessionID LIKE '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5' 
[2019/06/08 22:45:37][INFO][valTimedOut]  Query succeeded.
[2019/06/08 22:45:37][INFO][valTimedOut]  Checking if session should be timed out.
[2019/06/08 22:45:37][INFO][valTimedOut]  1560059137098 > 1560059683000 ?
[2019/06/08 22:45:37][INFO][valRevoked]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM sessions WHERE email LIKE 'email77777@uci.edu' AND sessionID LIKE '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5' 
[2019/06/08 22:45:37][INFO][valRevoked]  Query succeeded.
[2019/06/08 22:45:37][INFO][valRevoked]  Checking if session should be revoked...
[2019/06/08 22:45:37][INFO][valRevoked]  Timeout: 600000
[2019/06/08 22:45:37][INFO][valRevoked]  Current Time: 1560059137098
[2019/06/08 22:45:37][INFO][valRevoked]  Last used: 2019-06-08 22:44:43.0
[2019/06/08 22:45:37][INFO][valRevoked]  Expiration: 2019-06-08 23:04:43.0
[2019/06/08 22:45:37][INFO][valRevoked]  Time Created Time Long: 1560059083000
[2019/06/08 22:45:37][INFO][valRevoked]  Current Time Long: 1560059137098
[2019/06/08 22:45:37][INFO][valRevoked]  Last used Long: 1560059083000
[2019/06/08 22:45:37][INFO][valRevoked]  Expiration Long: 1200000
[2019/06/08 22:45:37][INFO][valRevoked]  CHECKING IF SERVICE SHOULD GENERATE NEW SESSION: 
[2019/06/08 22:45:37][INFO][valRevoked]  Result Window 2: -1560057937098 < 600000
[2019/06/08 22:45:37][INFO][valRevoked]  CHECKING IF SERVICE SHOULD RETURN SAME SESSION: 
[2019/06/08 22:45:37][INFO][valRevoked]  Result Window 1: 54098 > 1560058537098
[2019/06/08 22:45:37][INFO][valRevoked]  Session is being revoked; User is still logged in.
[2019/06/08 22:45:37][INFO][valRevoked]  Old Session: 88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5
[2019/06/08 22:45:37][INFO][setStatus]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: UPDATE sessions set status = 4 WHERE sessionID = '88f357cccbf955b9fd6052c4ed972c8d37abb261b0bc05e6d393e9751d2d9d366f918ed68bf8461b01b00db64c583da020024d53ccb27e1dc496aa02e0ce2cd5';
[2019/06/08 22:45:37][INFO][setStatus]  Query succeeded.
[2019/06/08 22:45:37][INFO][valRevoked]  New Session: 4857b5380d63e5c54eadbc9ed8b13979778644c852fe2077288f7859452b1a4d95b745a84616d50372bbddf6a260afa2cfed8917e0829566183c9ec2777989cb
[2019/06/08 22:45:37][INFO][insertSessionToDB]  Inserting session into database...
[2019/06/08 22:45:37][INFO][insertSessionToDB]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO sessions (sessionID, email, status, timeCreated, lastUsed, exprTime) VALUES ('4857b5380d63e5c54eadbc9ed8b13979778644c852fe2077288f7859452b1a4d95b745a84616d50372bbddf6a260afa2cfed8917e0829566183c9ec2777989cb','email77777@uci.edu',1,'2019-06-08 22:45:37.262','2019-06-08 22:45:37.262','2019-06-08 23:05:37.262');
[2019/06/08 22:45:37][INFO][constructResponseModel]  Session is active.
